id	fav_color	job	gender
1	Black	Plumber	Male
2	Black	Teacher	Female
3	Red	Fireman	Male
4	Black	Bus driver	Male
5	Yellow	Bus driver	Male
6	Green	Shopkeeper	Male
7	Yellow	Bus driver	Male
8	Blue	Fireman	Male
9	Yellow	Accountant	Female
10	Yellow	Fireman	Female
11	Green	Bus driver	Female
12	Yellow	Bus driver	Female
13	Black	Teacher	Male
14	Red	Accountant	Male
15	Green	Teacher	Female
16	Black	Plumber	Male
17	Black	Teacher	Female
18	Blue	Accountant	Male
19	Green	Fireman	Male
20	Green	Accountant	Male
21	Black	Plumber	Female
22	Blue	Shopkeeper	Male
23	Black	Accountant	Female
24	Black	Accountant	Female
25	Blue	Teacher	Male
26	Green	Accountant	Male
27	Red	Bus driver	Female
28	Black	Teacher	Female
29	Green	Lawyer	Male
30	Black	Plumber	Male
31	Yellow	Lawyer	Female
32	Black	Accountant	Female
33	Red	Shopkeeper	Female
34	Yellow	Teacher	Female
35	Blue	Accountant	Female
36	Black	Bus driver	Female
37	Blue	Plumber	Male
38	Red	Fireman	Female
39	Black	Bus driver	Female
40	Yellow	Teacher	Female
41	Red	Plumber	Male
42	Green	Accountant	Female
43	Blue	Accountant	Female
44	Black	Bus driver	Male
45	Green	Fireman	Male
46	Black	Accountant	Male
47	Black	Bus driver	Male
48	Yellow	Plumber	Female
49	Black	Mathematician	Female
50	Yellow	Shopkeeper	Female
51	Red	Fireman	Male
52	Red	Accountant	Male
53	Red	Teacher	Female
54	Yellow	Fireman	Male
55	Blue	Accountant	Male
56	Yellow	Fireman	Male
57	Yellow	Fireman	Female
58	Blue	Bus driver	Male
59	Red	Shopkeeper	Female
60	Green	Accountant	Male
61	Yellow	Shopkeeper	Male
62	Black	Plumber	Female
63	Yellow	Teacher	Male
64	Green	Teacher	Male
65	Black	Accountant	Male
66	Blue	Fireman	Male
67	Red	Plumber	Male
68	Black	Accountant	Female
69	Yellow	Bus driver	Female
70	Red	Bus driver	Male
71	Blue	Bus driver	Female
72	Blue	Shopkeeper	Male
73	Red	Bus driver	Male
74	Green	Lawyer	Male
